,tweet,,Score
0,RT @lifeadvice_4you: when you think your dog is barking at nothing he's actually barking at climate change,,1
1,"RT @aldatweets: “Key climate-change and energy transition puzzles are ... in the realm of the social sciences. However, these are precisely…",,1
2,RT @MarkFriesen08: Not only can we not send refugees back because “climate change”. How many “climate refugees” will be created because of…,,-1
3,RT @spikedonline: “It’s ridiculous to say the criticism of Meghan Markle is driven by racism. People went off Harry and Meghan for one simp…,,0
4,"@TyotoRiffle @MesiaArte @PerspicaciousXY @RedAce2024 @KathyCastorFL @JMB5girlDaddy Yes, what qualifies NASA to speak on CLIMATE CHANGE HOAX?",,-1
5,RT @lifeadvice_4you: when you think your dog is barking at nothing he's actually barking at climate change,,0
6,RT @TomTSEC: Poll Finds Most People Would Rather Be Annihilated By Giant Tidal Wave Than Continue To Be Lectured By Climate Change Activist…,,-1
7,"RT @BernieSanders: Making health care a right.
A living wage for all.
Reproductive rights.
Immigration reform.
Criminal justice reform.
Add…",,0
8,RT @RepDanCrenshaw: The American people should know: there’s a 3rd option when it comes to addressing climate change. It’s not the absurd G…,,1
9,RT @lifeadvice_4you: when you think your dog is barking at nothing he's actually barking at climate change,,0
10,"RT @1RossGittins: If we pretend it's not happening, climate change will go away and coal will stay king https://t.co/LDBopMw2N8 #ausecon #a…",,1
11,"RT @BernieSanders: Making health care a right.
A living wage for all.
Reproductive rights.
Immigration reform.
Criminal justice reform.
Add…",,0
12,RT @lifeadvice_4you: when you think your dog is barking at nothing he's actually barking at climate change,,0
13,"How is the world gonna end? 
By nuclear war? By a pandemic? By climate change? Find out on the next episode https://t.co/cprpCVKHNI",,1
14,"I don't deny climate change exists. We've been tracking the climate for 100 years now; we know it fluctuates, it ch… https://t.co/6oTBs7fvhb",,-1
15,"“Tim Eggar, chairman of the UK’s Oil and Gas Authority (OGA), sent shockwaves through the industry on Wednesday (15… https://t.co/N7JG9YRpxW",,0
16,"RT @abbeludwig: Climate activist Greta Thunberg: ""Pretty much nothing has been done""
She's right! 
Another big reason to make sure we get r…",,2
17,"RT @ABC: Spain’s new government has declared a national climate emergency, taking a formal first step toward enacting ambitious measures to…",,2
18,"RT @rituparnasarm10: Yes definitely already Climate change entered n effected animals not only Kaziranga but also animal across Globe,Vultu…",,2
19,"RT @colinkorolppc: I guess the carbon tax, strict regulation on resource development, subsidies to green tech companies and corporations, b…",,1
20,RT @GreatLakesPeck: So let's all work to make all our home countries more livable and sustainable in the face of climate change. That means…,,2
21,"@HillaryClinton I wish you would use your considerable influence, privilege and position to advocate full time for… https://t.co/RkQlYtKjRk",,0
22,"RT @csinut1: Not the USAs fault.  We dont believe in climate change! 

""Greta Thunberg says 'pretty much nothing has been done' on climate…",,-1
23,"RT @zozzer1966: I travel 70 along the princes Hwy every day 

Never seen a burnt animal let alone masses of them 

The claims over 1 billio…",,0
24,RT @RepDanCrenshaw: The American people should know: there’s a 3rd option when it comes to addressing climate change. It’s not the absurd G…,,1
25,"RT @UNEP: As a global community we must take #ClimateAction NOW, before extreme weather events push more communities &amp; ecosystems beyond th…",,2
26,"12. Has experience AND age - old people are old

13. Genuine

14. Paris climate Accord

15. Empathy - compared to e… https://t.co/pJVKalNlll",,0
27,"RT @ICRC: Millennials fear nuclear war.
Millennials fear climate change.
Millennials fear World War Three.

We need to act on their concern…",,1
28,"RT @BernieSanders: Making health care a right.
A living wage for all.
Reproductive rights.
Immigration reform.
Criminal justice reform.
Add…",,0
29,"RT @Oxford100: Sky really does not get it! Same Remainer faces,  -now with a climate change mania - all views no facts, no data, no rationa…",,-1
30,RT @lifeadvice_4you: when you think your dog is barking at nothing he's actually barking at climate change,,1
31,Davos: Greta Thunberg &amp; Donald Trump clash on climate change: The Swedish climate activist and the US president gav… https://t.co/4luSAkHIo2,,1
32,Go to the beach and see for yourself that there is no rising sea level. The climate change is a hoax...,,-1
33,RT @RepDanCrenshaw: The American people should know: there’s a 3rd option when it comes to addressing climate change. It’s not the absurd G…,,1
34,@paulbrislen You'd think when you literally start getting Biblical-style plagues raining down on you that you might… https://t.co/QlnSNVY64F,,0
35,RT @JRWeaver55: @Smartsheila @zalisteggall Exactly! Climate Change will NEVER be addressed by an LNP government. That’s a fact.?? SHOW SOME…,,1
36,"RT @PlantBasedNews: Scientists say the platypus is facing a number of threats - including extreme weather conditions, habitat destruction,…",,0
37,"RT @UNEP: #ClimateChange makes wildfires them more frequent, larger &amp; more widespread. 

When forests burn, the biodiversity on which human…",,2
39,RT @RepDanCrenshaw: The American people should know: there’s a 3rd option when it comes to addressing climate change. It’s not the absurd G…,,1
40,"RT @byHeatherLong: This is telling: 
Pretty much every other leader at #Davos came to talk about cooperation and addressing climate change.…",,1
41,"RT @PaulEDawson: “This is what you can expect to happen … at an average of 3C [increase],”

“We are seeing a sign of what would be normal c…",,2
42,RT @stonecold2050: Idiot Trump today dismissed what he called the “perennial prophets of doom” on climate change to an audience that includ…,,1
43,"@Aliciastarr001 @molon_labe1911 “Bernie strongly believes climate change is real, largely caused by human activitie… https://t.co/tHRnGsKUso",,2
44,RT @Tony__Heller: Fascinating how the solution to climate change is identical to communism. https://t.co/d2LMb97RbF,,-1
45,Some SF restaurants to introduce climate change surcharge - SFGate https://t.co/mq0PQBZunm,,1
46,RT @SCMPNews: Singapore’s climate change puzzle: with no wind and grey skies how can Lion City kick its fossil fuel habit? https://t.co/ZWE…,,1
47,"RT @AtlanticCouncil: While “Trump is right [that] this is a time for both optimism and action,” @ACGlobalEnergy nonresident senior fellow @…",,2
48,RT @isaacwilliams: My friends and I got so mad about inaction on climate change that a podcast exploded out of the group chat.,,1
49,RT @SkyNewsAust: Former Labor Leader @billshortenmp says “there’s no doubt” in his mind that if the government doesn’t have a “policy on cl…,,1
